Name,1,2,3,4,5,6,7,8,9,10,11,12,Total
Lincoln Memorial University,0,3,109,1,77,3,6,171,5,21,2,0,398
The University of Tennessee Southern,0,0,54,0,10,4,1,12,0,25,0,0,106
Maryville College,0,3,46,20,14,2,1,19,0,33,18,6,162
University of Memphis,273,233,858,150,116,53,75,391,181,567,194,49,3140
Middle Tennessee State University,140,157,895,139,239,28,55,306,193,573,421,37,3183
Rhodes College,0,28,78,88,88,11,46,25,3,105,23,26,521
The University of the South,0,6,12,94,68,11,18,0,0,120,18,21,368
Southern Adventist University,1,18,73,5,35,4,9,41,15,53,35,9,298
Tennessee Wesleyan University,0,0,121,0,5,1,0,35,5,14,1,0,182
The University of Tennessee-Chattanooga,228,66,536,81,121,22,34,221,107,290,87,15,1808
The University of Tennessee-Knoxville,910,124,1841,428,420,123,148,210,379,728,167,81,5559
The University of Tennessee-Martin,29,7,289,26,38,4,9,233,39,34,29,2,739
Tennessee State University,84,46,153,42,79,2,17,159,43,125,12,0,762
Tennessee Technological University,446,140,422,86,126,7,48,368,32,134,39,14,1862
Trevecca Nazarene University,2,25,387,0,15,3,2,260,14,119,42,0,869
Tusculum University,0,1,154,4,8,3,4,97,1,75,6,0,353
Union University,7,5,182,15,29,6,5,145,13,88,21,15,531
Vanderbilt University,341,246,531,715,340,307,100,370,32,386,84,81,3533
Abilene Christian University,17,25,193,22,36,11,13,129,40,132,35,2,655
